Date,Cough_Cold
2018-06-20,0
2018-06-21,0
2018-06-22,2
2018-06-25,0
2018-06-27,0
2018-06-28,2
2018-06-29,2
2018-06-30,0
2018-07-02,0
2018-07-04,0
2018-07-05,2
2018-07-06,0
2018-07-07,0
2018-07-09,0
2018-07-10,1
2018-07-11,0
2018-07-12,1
2018-07-13,0
2018-07-15,0
2018-07-16,0
2018-07-17,1
2018-07-18,0
2018-07-19,0
2018-07-20,0
2018-07-23,2
2018-07-24,3
2018-07-25,5
2018-07-26,5
2018-07-27,3
2018-07-28,5
2018-07-29,1
2018-07-30,0
2018-07-31,1
2018-08-01,3
2018-08-02,2
2018-08-03,0
2018-08-04,2
2018-08-06,0
2018-08-07,2
2018-08-08,0
2018-08-09,0
2018-08-10,1
2018-08-11,1
2018-08-13,0
2018-08-14,1
2018-08-16,1
2018-08-18,2
2018-08-20,3
2018-08-21,1
2018-08-23,0
2018-08-24,2
2018-08-27,4
2018-08-28,0
2018-08-30,3
2018-08-31,0
2018-09-01,3
2018-09-03,5
2018-09-04,0
2018-09-05,1
2018-09-06,1
2018-09-07,2
2018-09-08,4
2018-09-10,1
2018-09-12,1
2018-09-14,0
2018-09-17,2
2018-09-18,4
2018-09-20,3
2018-09-24,2
2018-09-26,0
2018-09-27,1
2018-09-28,1
2018-09-29,0
2018-10-01,2
2018-10-03,0
2018-10-04,0
2018-10-05,0
2018-10-08,1
2018-10-09,0
2018-10-10,0
2018-10-11,0
2018-10-22,1
2018-10-24,1
2018-10-26,0
2018-10-27,1
2018-10-29,1
2018-10-31,2
2018-11-03,5
2018-11-08,8
2018-11-09,2
2018-11-12,1
2018-11-13,2
2018-11-14,0
2018-11-15,1
2018-11-16,0
2018-11-19,2
2018-11-25,0
2018-11-26,0
2018-11-27,1
2018-11-28,4
2018-11-29,0
2018-11-30,0
2018-12-01,0
2018-12-03,0
2018-12-04,1
2018-12-05,1
2018-12-06,0
2018-12-07,0
2018-12-08,0
2018-12-10,0
2018-12-11,0
2018-12-13,0
2018-12-15,0
2018-12-17,0
2018-12-19,0
2018-12-20,0
2018-12-21,0
2018-12-22,0
2018-12-24,0
2018-12-27,2
2018-12-29,0
2018-12-31,1
